,second,categories
129,129,"['furniture', 'decor', 'flooring']"
130,130,"['furniture', 'decor', 'windows']"
131,131,"['furniture', 'decor', 'windows']"
132,132,"['flooring', 'design', 'decor']"
133,133,"['flooring', 'design', 'decor']"
134,134,"['flooring', 'design', 'decor']"
135,135,"['flooring', 'design', 'decor']"
136,136,"['flooring', 'design', 'decor']"
137,137,"['flooring', 'design', 'decor']"
138,138,"['furniture', 'decor', 'flooring']"
139,139,"['furniture', 'decor', 'walls']"
140,140,"['furniture', 'decor', 'flooring']"
141,141,"['furniture', 'decor', 'walls']"
142,142,"['walls', 'furniture', 'ceiling']"
143,143,"['ceiling', 'lighting', 'flooring']"
144,144,"['ceiling', 'flooring', 'lighting']"
145,145,"['furniture', 'flooring', 'decor']"
146,146,"['flooring', 'furniture', 'decor']"
147,147,"['flooring', 'furniture', 'decor']"
148,148,"['furniture', 'flooring', 'decor']"
149,149,"['furniture', 'flooring', 'windows']"
150,150,"['furniture', 'decor', 'flooring']"
151,151,"['furniture', 'flooring', 'decor']"
152,152,"['flooring', 'furniture', 'decor']"
153,153,"['furniture', 'flooring', 'decor']"
154,154,"['furniture', 'decor', 'flooring']"
155,155,"['design', 'decor', 'windows']"
156,156,"['windows', 'design', 'decor']"
157,157,"['design', 'decor', 'windows']"
158,158,"['design', 'decor', 'windows']"
159,159,"['flooring', 'windows', 'furniture']"
160,160,"['furniture', 'decor', 'flooring']"
161,161,"['furniture', 'windows', 'flooring']"
162,162,"['windows', 'furniture', 'walls']"
163,163,"['windows', 'walls', 'design']"
164,164,"['decor', 'furniture', 'walls']"
165,165,"['furniture', 'decor', 'windows']"
166,166,"['decor', 'furniture', 'walls']"
167,167,"['furniture', 'flooring', 'windows']"
168,168,"['furniture', 'flooring', 'windows']"
169,169,"['decor', 'design', 'flooring']"
170,170,"['windows', 'decor', 'flooring']"
171,171,"['windows', 'decor', 'design']"
172,172,"['windows', 'decor', 'design']"
173,173,"['windows', 'decor', 'design']"
174,174,"['flooring', 'furniture', 'decor']"
175,175,"['furniture', 'decor', 'flooring']"
176,176,"['decor', 'furniture', 'flooring']"
177,177,"['flooring', 'furniture', 'decor']"
178,178,"['flooring', 'furniture', 'decor']"
179,179,"['flooring', 'decor', 'furniture']"
180,180,"['decor', 'flooring', 'furniture']"
181,181,"['flooring', 'decor', 'furniture']"
182,182,"['flooring', 'decor', 'design']"
183,183,"['flooring', 'decor', 'design']"
184,184,"['flooring', 'decor', 'design']"
185,185,"['windows', 'decor', 'design']"
186,186,"['windows', 'decor', 'flooring']"
187,187,"['windows', 'decor', 'design']"
188,188,"['windows', 'decor', 'design']"
189,189,"['windows', 'decor', 'design']"
190,190,"['windows', 'decor', 'design']"
191,191,"['windows', 'decor', 'design']"
192,192,"['windows', 'decor', 'design']"
193,193,"['windows', 'decor', 'design']"
194,194,"['windows', 'decor', 'design']"
195,195,"['windows', 'decor', 'walls']"
196,196,"['flooring', 'ceiling', 'furniture']"
197,197,"['flooring', 'furniture', 'decor']"
198,198,"['flooring', 'furniture', 'ceiling']"
199,199,"['furniture', 'decor', 'windows']"
200,200,"['furniture', 'decor', 'walls']"
201,201,"['decor', 'walls', 'windows']"
202,202,"['walls', 'decor', 'windows']"
203,203,"['furniture', 'decor', 'flooring']"
204,204,"['furniture', 'decor', 'flooring']"
205,205,"['decor', 'furniture', 'flooring']"
206,206,"['furniture', 'decor', 'flooring']"
207,207,"['decor', 'furniture', 'walls']"
208,208,"['decor', 'furniture', 'walls']"
209,209,"['decor', 'furniture', 'flooring']"
210,210,"['furniture', 'decor', 'flooring']"
211,211,"['furniture', 'decor', 'flooring']"
212,212,"['furniture', 'flooring', 'decor']"
213,213,"['furniture', 'decor', 'flooring']"
214,214,"['furniture', 'decor', 'flooring']"
215,215,"['furniture', 'decor', 'flooring']"
216,216,"['furniture', 'decor', 'flooring']"
217,217,"['flooring', 'decor', 'design']"
218,218,"['flooring', 'decor', 'design']"
219,219,"['flooring', 'design', 'decor']"
220,220,"['flooring', 'design', 'decor']"
221,221,"['flooring', 'design', 'decor']"
222,222,"['flooring', 'design', 'decor']"
223,223,"['flooring', 'design', 'decor']"
224,224,"['flooring', 'decor', 'design']"
225,225,"['flooring', 'decor', 'design']"
226,226,"['flooring', 'decor', 'furniture']"
227,227,"['flooring', 'decor', 'design']"
228,228,"['flooring', 'decor', 'walls']"
229,229,"['furniture', 'walls', 'windows']"
230,230,"['furniture', 'flooring', 'decor']"
231,231,"['furniture', 'decor', 'flooring']"
232,232,"['furniture', 'decor', 'flooring']"
233,233,"['furniture', 'decor', 'walls']"
234,234,"['furniture', 'decor', 'flooring']"
235,235,"['walls', 'furniture', 'windows']"
236,236,"['walls', 'furniture', 'decor']"
237,237,"['flooring', 'design', 'decor']"
238,238,"['flooring', 'design', 'decor']"
239,239,"['flooring', 'design', 'decor']"
240,240,"['flooring', 'design', 'decor']"
241,241,"['flooring', 'furniture', 'decor']"
242,242,"['decor', 'furniture', 'flooring']"
243,243,"['flooring', 'furniture', 'decor']"
244,244,"['decor', 'flooring', 'furniture']"
245,245,"['flooring', 'decor', 'furniture']"
246,246,"['flooring', 'decor', 'furniture']"
247,247,"['furniture', 'decor', 'flooring']"
248,248,"['decor', 'furniture', 'flooring']"
249,249,"['decor', 'flooring', 'furniture']"
250,250,"['walls', 'decor', 'furniture']"
251,251,"['decor', 'flooring', 'furniture']"
252,252,"['decor', 'walls', 'flooring']"
253,253,"['flooring', 'decor', 'furniture']"
254,254,"['flooring', 'decor', 'furniture']"
255,255,"['flooring', 'decor', 'furniture']"
256,256,"['flooring', 'decor', 'furniture']"
257,257,"['flooring', 'decor', 'furniture']"
258,258,"['decor', 'walls', 'furniture']"
259,259,"['walls', 'decor', 'furniture']"
260,260,"['furniture', 'decor', 'flooring']"
261,261,"['decor', 'furniture', 'flooring']"
262,262,"['decor', 'furniture', 'flooring']"
263,263,"['furniture', 'decor', 'flooring']"
264,264,"['furniture', 'decor', 'flooring']"
265,265,"['decor', 'flooring', 'design']"
266,266,"['decor', 'flooring', 'design']"
267,267,"['decor', 'flooring', 'design']"
268,268,"['flooring', 'decor', 'design']"
269,269,"['flooring', 'decor', 'design']"
270,270,"['flooring', 'decor', 'design']"
271,271,"['flooring', 'decor', 'design']"
272,272,"['flooring', 'decor', 'design']"
273,273,"['windows', 'furniture', 'walls']"
274,274,"['windows', 'walls', 'design']"
275,275,"['windows', 'design', 'walls']"
276,276,"['windows', 'design', 'walls']"
277,277,"['windows', 'design', 'walls']"
278,278,"['furniture', 'windows', 'flooring']"
279,279,"['furniture', 'windows', 'decor']"
280,280,"['furniture', 'decor', 'windows']"
281,281,"['furniture', 'decor', 'walls']"
282,282,"['decor', 'furniture', 'walls']"
283,283,"['decor', 'furniture', 'walls']"
284,284,"['decor', 'furniture', 'walls']"
285,285,"['decor', 'furniture', 'walls']"
286,286,"['decor', 'furniture', 'walls']"
287,287,"['decor', 'furniture', 'walls']"
288,288,"['flooring', 'decor', 'furniture']"
289,289,"['decor', 'furniture', 'flooring']"
290,290,"['furniture', 'decor', 'walls']"
291,291,"['decor', 'furniture', 'walls']"
292,292,"['decor', 'furniture', 'flooring']"
293,293,"['furniture', 'decor', 'flooring']"
294,294,"['furniture', 'decor', 'windows']"
295,295,"['furniture', 'decor', 'windows']"
296,296,"['furniture', 'decor', 'windows']"
297,297,"['furniture', 'decor', 'windows']"
298,298,"['furniture', 'walls', 'decor']"
299,299,"['decor', 'furniture', 'walls']"
300,300,"['decor', 'furniture', 'walls']"
301,301,"['decor', 'furniture', 'walls']"
302,302,"['furniture', 'decor', 'walls']"
303,303,"['design', 'flooring', 'decor']"
304,304,"['design', 'decor', 'flooring']"
305,305,"['design', 'flooring', 'decor']"
306,306,"['design', 'flooring', 'decor']"
307,307,"['flooring', 'design', 'decor']"
308,308,"['design', 'flooring', 'decor']"
309,309,"['design', 'flooring', 'decor']"
310,310,"['design', 'flooring', 'decor']"
311,311,"['walls', 'decor', 'windows']"
312,312,"['windows', 'walls', 'furniture']"
313,313,"['windows', 'design', 'walls']"
314,314,"['walls', 'windows', 'decor']"
315,315,"['walls', 'design', 'windows']"
316,316,"['walls', 'design', 'windows']"
317,317,"['walls', 'windows', 'design']"
318,318,"['walls', 'decor', 'windows']"
319,319,"['windows', 'furniture', 'decor']"
320,320,"['windows', 'furniture', 'decor']"
321,321,"['furniture', 'flooring', 'walls']"
322,322,"['furniture', 'windows', 'walls']"
323,323,"['furniture', 'walls', 'windows']"
324,324,"['furniture', 'walls', 'decor']"
325,325,"['flooring', 'design', 'decor']"
326,326,"['flooring', 'design', 'decor']"
327,327,"['design', 'flooring', 'decor']"
328,328,"['flooring', 'design', 'decor']"
329,329,"['flooring', 'design', 'decor']"
330,330,"['flooring', 'design', 'decor']"
331,331,"['flooring', 'design', 'decor']"
